date,name,point,rank
20210101,가나의 혼인잔치: 언약,9.59,0
20210101,언플랜드,9.52,1
20210101,극장판 바이올렛 에버가든,9.49,2
20210101,부활: 그 증거,9.40,3
20210101,소년시절의 너,9.39,4
20210101,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.26,5
20210101,일 포스티노,9.16,6
20210101,제리 맥과이어,9.16,7
20210101,사랑의 블랙홀,9.15,8
20210101,러브레터,9.12,9
20210101,타오르는 여인의 초상,9.07,10
20210101,글루미 선데이,9.06,11
20210101,당신이 잠든 사이에,9.06,12
20210101,노트북,9.05,13
20210101,비긴 어게인,9.04,14
20210101,굿바이,9.04,15
20210101,"조제, 호랑이 그리고 물고기들",9.00,16
20210101,윤희에게,8.98,17
20210101,남매의 여름밤,8.96,18
20210101,러브 액츄얼리,8.93,19
20210101,담보,8.91,20
20210101,해리가 샐리를 만났을 때,8.89,21
20210101,화양연화,8.80,22
20210101,찬실이는 복도 많지,8.72,23
20210101,귀여운 여인,8.70,24
20210101,피아노,8.66,25
20210101,캡틴 판타스틱,8.65,26
20210101,퐁네프의 연인들,8.63,27
20210101,라라랜드,8.61,28
20210101,철도원,8.59,29
20210101,아비정전,8.50,30
20210101,레토,8.43,31
20210101,삼진그룹 영어토익반,8.36,32
20210101,테넷,8.20,33
20210101,런,8.17,34
20210101,하나와 앨리스,8.11,35
20210101,일대종사,8.01,36
20210101,존 윅 3: 파라벨룸,8.01,37
20210101,아이 엠 러브,7.85,38
20210101,펀치 드렁크 러브,7.72,39
20210101,루비 스팍스,7.51,40
20210101,도굴,7.36,41
20210101,애비규환,7.02,42
20210101,프리키 데스데이,6.84,43
20210101,조제,6.65,44
20210101,이웃사촌,5.98,45
20210101,원더 우먼 1984,5.49,46
20210101,800,3.60,47
20210102,가나의 혼인잔치: 언약,9.56,0
20210102,언플랜드,9.50,1
20210102,극장판 바이올렛 에버가든,9.50,2
20210102,부활: 그 증거,9.40,3
20210102,소년시절의 너,9.39,4
20210102,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.26,5
20210102,일 포스티노,9.16,6
20210102,제리 맥과이어,9.16,7
20210102,사랑의 블랙홀,9.15,8
20210102,러브레터,9.12,9
20210102,타오르는 여인의 초상,9.07,10
20210102,글루미 선데이,9.06,11
20210102,당신이 잠든 사이에,9.06,12
20210102,노트북,9.05,13
20210102,비긴 어게인,9.04,14
20210102,굿바이,9.04,15
20210102,"조제, 호랑이 그리고 물고기들",9.00,16
20210102,윤희에게,8.99,17
20210102,남매의 여름밤,8.96,18
20210102,러브 액츄얼리,8.93,19
20210102,담보,8.91,20
20210102,해리가 샐리를 만났을 때,8.89,21
20210102,화양연화,8.79,22
20210102,찬실이는 복도 많지,8.72,23
20210102,귀여운 여인,8.70,24
20210102,피아노,8.66,25
20210102,캡틴 판타스틱,8.65,26
20210102,퐁네프의 연인들,8.63,27
20210102,라라랜드,8.61,28
20210102,철도원,8.59,29
20210102,아비정전,8.50,30
20210102,레토,8.43,31
20210102,삼진그룹 영어토익반,8.36,32
20210102,테넷,8.20,33
20210102,런,8.17,34
20210102,하나와 앨리스,8.11,35
20210102,존 윅 3: 파라벨룸,8.01,36
20210102,아이 엠 러브,7.85,37
20210102,펀치 드렁크 러브,7.71,38
20210102,루비 스팍스,7.51,39
20210102,도굴,7.34,40
20210102,애비규환,7.02,41
20210102,프리키 데스데이,6.82,42
20210102,조제,6.63,43
20210102,이웃사촌,6.00,44
20210102,원더 우먼 1984,5.48,45
20210102,800,3.60,46
20210103,가나의 혼인잔치: 언약,9.54,0
20210103,극장판 바이올렛 에버가든,9.50,1
20210103,언플랜드,9.49,2
20210103,부활: 그 증거,9.40,3
20210103,소년시절의 너,9.39,4
20210103,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.26,5
20210103,일 포스티노,9.17,6
20210103,제리 맥과이어,9.16,7
20210103,사랑의 블랙홀,9.15,8
20210103,러브레터,9.12,9
20210103,타오르는 여인의 초상,9.07,10
20210103,글루미 선데이,9.06,11
20210103,당신이 잠든 사이에,9.06,12
20210103,노트북,9.05,13
20210103,굿바이,9.04,14
20210103,비긴 어게인,9.04,15
20210103,"조제, 호랑이 그리고 물고기들",9.00,16
20210103,윤희에게,8.99,17
20210103,남매의 여름밤,8.96,18
20210103,러브 액츄얼리,8.93,19
20210103,담보,8.91,20
20210103,해리가 샐리를 만났을 때,8.88,21
20210103,화양연화,8.75,22
20210103,찬실이는 복도 많지,8.72,23
20210103,귀여운 여인,8.70,24
20210103,피아노,8.66,25
20210103,캡틴 판타스틱,8.65,26
20210103,퐁네프의 연인들,8.63,27
20210103,라라랜드,8.61,28
20210103,철도원,8.59,29
20210103,아비정전,8.50,30
20210103,레토,8.43,31
20210103,삼진그룹 영어토익반,8.36,32
20210103,테넷,8.19,33
20210103,런,8.16,34
20210103,하나와 앨리스,8.11,35
20210103,존 윅 3: 파라벨룸,8.01,36
20210103,아이 엠 러브,7.85,37
20210103,펀치 드렁크 러브,7.72,38
20210103,루비 스팍스,7.51,39
20210103,도굴,7.34,40
20210103,애비규환,7.01,41
20210103,프리키 데스데이,6.80,42
20210103,조제,6.64,43
20210103,이웃사촌,5.98,44
20210103,원더 우먼 1984,5.44,45
20210103,800,3.60,46
20210104,가나의 혼인잔치: 언약,9.51,0
20210104,극장판 바이올렛 에버가든,9.50,1
20210104,언플랜드,9.49,2
20210104,부활: 그 증거,9.40,3
20210104,소년시절의 너,9.39,4
20210104,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.26,5
20210104,제리 맥과이어,9.16,6
20210104,사랑의 블랙홀,9.15,7
20210104,러브레터,9.12,8
20210104,타오르는 여인의 초상,9.07,9
20210104,글루미 선데이,9.06,10
20210104,노트북,9.05,11
20210104,비긴 어게인,9.04,12
20210104,굿바이,9.04,13
20210104,"조제, 호랑이 그리고 물고기들",9.00,14
20210104,윤희에게,8.99,15
20210104,남매의 여름밤,8.96,16
20210104,러브 액츄얼리,8.93,17
20210104,담보,8.91,18
20210104,해리가 샐리를 만났을 때,8.88,19
20210104,화양연화,8.76,20
20210104,찬실이는 복도 많지,8.72,21
20210104,귀여운 여인,8.70,22
20210104,캡틴 판타스틱,8.65,23
20210104,퐁네프의 연인들,8.63,24
20210104,라라랜드,8.61,25
20210104,철도원,8.58,26
20210104,아비정전,8.50,27
20210104,삼진그룹 영어토익반,8.36,28
20210104,테넷,8.20,29
20210104,런,8.16,30
20210104,하나와 앨리스,8.11,31
20210104,존 윅 3: 파라벨룸,8.01,32
20210104,아이 엠 러브,7.85,33
20210104,펀치 드렁크 러브,7.72,34
20210104,루비 스팍스,7.51,35
20210104,도굴,7.33,36
20210104,애비규환,7.01,37
20210104,프리키 데스데이,6.80,38
20210104,조제,6.65,39
20210104,이웃사촌,5.96,40
20210104,원더 우먼 1984,5.41,41
20210104,800,3.61,42
20210105,가나의 혼인잔치: 언약,9.52,0
20210105,극장판 바이올렛 에버가든,9.51,1
20210105,언플랜드,9.49,2
20210105,부활: 그 증거,9.40,3
20210105,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.26,4
20210105,제리 맥과이어,9.16,5
20210105,사랑의 블랙홀,9.15,6
20210105,러브레터,9.12,7
20210105,타오르는 여인의 초상,9.06,8
20210105,글루미 선데이,9.06,9
20210105,당신이 잠든 사이에,9.06,10
20210105,노트북,9.05,11
20210105,굿바이,9.04,12
20210105,비긴 어게인,9.04,13
20210105,"조제, 호랑이 그리고 물고기들",9.00,14
20210105,윤희에게,8.98,15
20210105,남매의 여름밤,8.96,16
20210105,러브 액츄얼리,8.93,17
20210105,담보,8.91,18
20210105,해리가 샐리를 만났을 때,8.88,19
20210105,화양연화,8.76,20
20210105,찬실이는 복도 많지,8.72,21
20210105,캡틴 판타스틱,8.65,22
20210105,퐁네프의 연인들,8.63,23
20210105,라라랜드,8.61,24
20210105,철도원,8.58,25
20210105,아비정전,8.50,26
20210105,삼진그룹 영어토익반,8.35,27
20210105,테넷,8.19,28
20210105,런,8.17,29
20210105,존 윅 3: 파라벨룸,8.01,30
20210105,아이 엠 러브,7.85,31
20210105,펀치 드렁크 러브,7.72,32
20210105,루비 스팍스,7.51,33
20210105,도굴,7.33,34
20210105,애비규환,7.03,35
20210105,프리키 데스데이,6.80,36
20210105,조제,6.65,37
20210105,이웃사촌,5.97,38
20210105,원더 우먼 1984,5.38,39
20210105,800,3.62,40
20210106,가나의 혼인잔치: 언약,9.52,0
20210106,극장판 바이올렛 에버가든,9.51,1
20210106,언플랜드,9.49,2
20210106,부활: 그 증거,9.40,3
20210106,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.27,4
20210106,일 포스티노,9.17,5
20210106,제리 맥과이어,9.16,6
20210106,사랑의 블랙홀,9.15,7
20210106,러브레터,9.12,8
20210106,타오르는 여인의 초상,9.06,9
20210106,글루미 선데이,9.06,10
20210106,당신이 잠든 사이에,9.06,11
20210106,노트북,9.05,12
20210106,굿바이,9.04,13
20210106,비긴 어게인,9.04,14
20210106,남매의 여름밤,8.96,15
20210106,러브 액츄얼리,8.93,16
20210106,담보,8.91,17
20210106,해리가 샐리를 만났을 때,8.88,18
20210106,화양연화,8.76,19
20210106,찬실이는 복도 많지,8.72,20
20210106,피아노,8.66,21
20210106,캡틴 판타스틱,8.65,22
20210106,퐁네프의 연인들,8.63,23
20210106,라라랜드,8.61,24
20210106,철도원,8.58,25
20210106,아비정전,8.50,26
20210106,스윙키즈,8.40,27
20210106,삼진그룹 영어토익반,8.35,28
20210106,패터슨,8.30,29
20210106,테넷,8.19,30
20210106,런,8.17,31
20210106,아이 엠 러브,7.85,32
20210106,펀치 드렁크 러브,7.72,33
20210106,루비 스팍스,7.51,34
20210106,도굴,7.33,35
20210106,애비규환,7.03,36
20210106,조제,6.65,37
20210106,이웃사촌,5.95,38
20210106,원더 우먼 1984,5.35,39
20210106,800,3.62,40
20210107,가나의 혼인잔치: 언약,9.52,0
20210107,극장판 바이올렛 에버가든,9.51,1
20210107,언플랜드,9.49,2
20210107,부활: 그 증거,9.40,3
20210107,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.27,4
20210107,일 포스티노,9.17,5
20210107,제리 맥과이어,9.16,6
20210107,사랑의 블랙홀,9.15,7
20210107,러브레터,9.12,8
20210107,타오르는 여인의 초상,9.06,9
20210107,글루미 선데이,9.06,10
20210107,당신이 잠든 사이에,9.06,11
20210107,노트북,9.05,12
20210107,굿바이,9.04,13
20210107,비긴 어게인,9.04,14
20210107,남매의 여름밤,8.96,15
20210107,러브 액츄얼리,8.93,16
20210107,담보,8.91,17
20210107,해리가 샐리를 만났을 때,8.88,18
20210107,화양연화,8.76,19
20210107,맨체스터 바이 더 씨,8.72,20
20210107,찬실이는 복도 많지,8.71,21
20210107,피아노,8.66,22
20210107,토탈 이클립스,8.66,23
20210107,캡틴 판타스틱,8.65,24
20210107,퐁네프의 연인들,8.63,25
20210107,라라랜드,8.61,26
20210107,철도원,8.58,27
20210107,내일을 위한 시간,8.54,28
20210107,아비정전,8.50,29
20210107,스윙키즈,8.40,30
20210107,삼진그룹 영어토익반,8.35,31
20210107,패터슨,8.30,32
20210107,테넷,8.19,33
20210107,런,8.16,34
20210107,무드 인디고,8.02,35
20210107,아이 엠 러브,7.85,36
20210107,신과함께-죄와 벌,7.83,37
20210107,반교: 디텐션,7.81,38
20210107,펀치 드렁크 러브,7.72,39
20210107,루비 스팍스,7.51,40
20210107,도굴,7.33,41
20210107,애비규환,7.03,42
20210107,조제,6.65,43
20210107,이웃사촌,5.96,44
20210107,레이니 데이 인 뉴욕,5.54,45
20210107,원더 우먼 1984,5.33,46
20210107,800,3.62,47
20210108,가나의 혼인잔치: 언약,9.52,0
20210108,극장판 바이올렛 에버가든,9.51,1
20210108,언플랜드,9.49,2
20210108,부활: 그 증거,9.40,3
20210108,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.27,4
20210108,일 포스티노,9.17,5
20210108,제리 맥과이어,9.16,6
20210108,사랑의 블랙홀,9.15,7
20210108,러브레터,9.12,8
20210108,노팅 힐,9.08,9
20210108,타오르는 여인의 초상,9.06,10
20210108,글루미 선데이,9.06,11
20210108,노트북,9.05,12
20210108,비긴 어게인,9.04,13
20210108,굿바이,9.04,14
20210108,남매의 여름밤,8.96,15
20210108,러브 액츄얼리,8.93,16
20210108,담보,8.91,17
20210108,라빠르망,8.81,18
20210108,너의 이름은.,8.78,19
20210108,화양연화,8.76,20
20210108,맨체스터 바이 더 씨,8.72,21
20210108,찬실이는 복도 많지,8.71,22
20210108,피아노,8.66,23
20210108,토탈 이클립스,8.66,24
20210108,라라랜드,8.61,25
20210108,철도원,8.58,26
20210108,내일을 위한 시간,8.54,27
20210108,백엔의 사랑,8.52,28
20210108,아비정전,8.50,29
20210108,스윙키즈,8.40,30
20210108,초속5센티미터,8.36,31
20210108,삼진그룹 영어토익반,8.35,32
20210108,너의 췌장을 먹고 싶어,8.34,33
20210108,패터슨,8.29,34
20210108,테넷,8.19,35
20210108,런,8.16,36
20210108,너의 췌장을 먹고 싶어,8.08,37
20210108,무드 인디고,8.02,38
20210108,날씨의 아이,7.98,39
20210108,아이 엠 러브,7.85,40
20210108,신과함께-죄와 벌,7.83,41
20210108,반교: 디텐션,7.82,42
20210108,펀치 드렁크 러브,7.72,43
20210108,"안녕, 티라노: 영원히, 함께",7.59,44
20210108,루비 스팍스,7.51,45
20210108,도굴,7.33,46
20210108,애비규환,7.04,47
20210108,조제,6.66,48
20210108,이웃사촌,5.96,49
20210109,가나의 혼인잔치: 언약,9.52,0
20210109,극장판 바이올렛 에버가든,9.52,1
20210109,언플랜드,9.49,2
20210109,부활: 그 증거,9.40,3
20210109,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.27,4
20210109,일 포스티노,9.17,5
20210109,제리 맥과이어,9.16,6
20210109,사랑의 블랙홀,9.15,7
20210109,러브레터,9.12,8
20210109,노팅 힐,9.08,9
20210109,타오르는 여인의 초상,9.06,10
20210109,글루미 선데이,9.06,11
20210109,노트북,9.05,12
20210109,굿바이,9.04,13
20210109,비긴 어게인,9.04,14
20210109,남매의 여름밤,8.95,15
20210109,러브 액츄얼리,8.93,16
20210109,담보,8.91,17
20210109,해리가 샐리를 만났을 때,8.88,18
20210109,라빠르망,8.81,19
20210109,너의 이름은.,8.78,20
20210109,화양연화,8.74,21
20210109,맨체스터 바이 더 씨,8.72,22
20210109,찬실이는 복도 많지,8.72,23
20210109,토탈 이클립스,8.66,24
20210109,라라랜드,8.61,25
20210109,철도원,8.58,26
20210109,내일을 위한 시간,8.54,27
20210109,백엔의 사랑,8.52,28
20210109,아비정전,8.49,29
20210109,스윙키즈,8.40,30
20210109,초속5센티미터,8.36,31
20210109,삼진그룹 영어토익반,8.35,32
20210109,너의 췌장을 먹고 싶어,8.34,33
20210109,패터슨,8.29,34
20210109,테넷,8.19,35
20210109,런,8.16,36
20210109,너의 췌장을 먹고 싶어,8.08,37
20210109,무드 인디고,8.02,38
20210109,날씨의 아이,7.98,39
20210109,아이 엠 러브,7.85,40
20210109,신과함께-죄와 벌,7.83,41
20210109,반교: 디텐션,7.82,42
20210109,펀치 드렁크 러브,7.72,43
20210109,"안녕, 티라노: 영원히, 함께",7.59,44
20210109,루비 스팍스,7.51,45
20210109,도굴,7.33,46
20210109,협상,7.32,47
20210109,애비규환,7.04,48
20210109,조제,6.65,49
20210110,가나의 혼인잔치: 언약,9.52,0
20210110,극장판 바이올렛 에버가든,9.51,1
20210110,언플랜드,9.49,2
20210110,부활: 그 증거,9.40,3
20210110,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.28,4
20210110,제리 맥과이어,9.16,5
20210110,사랑의 블랙홀,9.15,6
20210110,러브레터,9.12,7
20210110,노팅 힐,9.08,8
20210110,타오르는 여인의 초상,9.06,9
20210110,글루미 선데이,9.06,10
20210110,노트북,9.05,11
20210110,굿바이,9.04,12
20210110,비긴 어게인,9.04,13
20210110,"조제, 호랑이 그리고 물고기들",9.00,14
20210110,남매의 여름밤,8.95,15
20210110,러브 액츄얼리,8.94,16
20210110,담보,8.91,17
20210110,해리가 샐리를 만났을 때,8.88,18
20210110,라빠르망,8.81,19
20210110,너의 이름은.,8.78,20
20210110,화양연화,8.75,21
20210110,맨체스터 바이 더 씨,8.72,22
20210110,찬실이는 복도 많지,8.71,23
20210110,퐁네프의 연인들,8.63,24
20210110,라라랜드,8.61,25
20210110,철도원,8.58,26
20210110,내일을 위한 시간,8.54,27
20210110,백엔의 사랑,8.51,28
20210110,아비정전,8.49,29
20210110,스윙키즈,8.40,30
20210110,초속5센티미터,8.36,31
20210110,삼진그룹 영어토익반,8.35,32
20210110,너의 췌장을 먹고 싶어,8.34,33
20210110,패터슨,8.29,34
20210110,테넷,8.19,35
20210110,런,8.15,36
20210110,너의 췌장을 먹고 싶어,8.08,37
20210110,무드 인디고,8.02,38
20210110,날씨의 아이,7.98,39
20210110,아이 엠 러브,7.85,40
20210110,신과함께-죄와 벌,7.83,41
20210110,반교: 디텐션,7.82,42
20210110,펀치 드렁크 러브,7.72,43
20210110,"안녕, 티라노: 영원히, 함께",7.59,44
20210110,루비 스팍스,7.51,45
20210110,협상,7.32,46
20210110,도굴,7.32,47
20210110,애비규환,7.05,48
20210110,조제,6.64,49
20210111,가나의 혼인잔치: 언약,9.52,0
20210111,극장판 바이올렛 에버가든,9.52,1
20210111,언플랜드,9.47,2
20210111,부활: 그 증거,9.40,3
20210111,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.28,4
20210111,일 포스티노,9.17,5
20210111,제리 맥과이어,9.16,6
20210111,사랑의 블랙홀,9.15,7
20210111,러브레터,9.12,8
20210111,노팅 힐,9.08,9
20210111,타오르는 여인의 초상,9.06,10
20210111,글루미 선데이,9.06,11
20210111,노트북,9.05,12
20210111,굿바이,9.04,13
20210111,비긴 어게인,9.04,14
20210111,"조제, 호랑이 그리고 물고기들",9.00,15
20210111,남매의 여름밤,8.95,16
20210111,러브 액츄얼리,8.94,17
20210111,담보,8.91,18
20210111,해리가 샐리를 만났을 때,8.88,19
20210111,이별의 아침에 약속의 꽃을 장식하자,8.83,20
20210111,라빠르망,8.81,21
20210111,너의 이름은.,8.78,22
20210111,화양연화,8.75,23
20210111,맨체스터 바이 더 씨,8.72,24
20210111,찬실이는 복도 많지,8.70,25
20210111,피아노,8.66,26
20210111,토탈 이클립스,8.65,27
20210111,퐁네프의 연인들,8.63,28
20210111,라라랜드,8.61,29
20210111,철도원,8.59,30
20210111,내일을 위한 시간,8.54,31
20210111,백엔의 사랑,8.51,32
20210111,아비정전,8.49,33
20210111,스윙키즈,8.40,34
20210111,초속5센티미터,8.36,35
20210111,삼진그룹 영어토익반,8.35,36
20210111,너의 췌장을 먹고 싶어,8.34,37
20210111,패터슨,8.29,38
20210111,테넷,8.19,39
20210111,런,8.15,40
20210111,너의 췌장을 먹고 싶어,8.08,41
20210111,무드 인디고,8.02,42
20210111,날씨의 아이,7.98,43
20210111,아이 엠 러브,7.85,44
20210111,신과함께-죄와 벌,7.83,45
20210111,반교: 디텐션,7.82,46
20210111,펀치 드렁크 러브,7.72,47
20210111,"안녕, 티라노: 영원히, 함께",7.59,48
20210111,루비 스팍스,7.51,49
20210112,극장판 바이올렛 에버가든,9.52,0
20210112,가나의 혼인잔치: 언약,9.50,1
20210112,언플랜드,9.47,2
20210112,부활: 그 증거,9.40,3
20210112,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.28,4
20210112,일 포스티노,9.16,5
20210112,제리 맥과이어,9.16,6
20210112,사랑의 블랙홀,9.15,7
20210112,러브레터,9.12,8
20210112,노팅 힐,9.08,9
20210112,타오르는 여인의 초상,9.06,10
20210112,글루미 선데이,9.06,11
20210112,노트북,9.05,12
20210112,굿바이,9.04,13
20210112,비긴 어게인,9.04,14
20210112,"조제, 호랑이 그리고 물고기들",9.00,15
20210112,남매의 여름밤,8.95,16
20210112,러브 액츄얼리,8.93,17
20210112,담보,8.91,18
20210112,해리가 샐리를 만났을 때,8.88,19
20210112,이별의 아침에 약속의 꽃을 장식하자,8.83,20
20210112,라빠르망,8.81,21
20210112,너의 이름은.,8.78,22
20210112,화양연화,8.75,23
20210112,맨체스터 바이 더 씨,8.72,24
20210112,찬실이는 복도 많지,8.70,25
20210112,귀여운 여인,8.70,26
20210112,피아노,8.66,27
20210112,토탈 이클립스,8.65,28
20210112,퐁네프의 연인들,8.63,29
20210112,라라랜드,8.61,30
20210112,철도원,8.59,31
20210112,내일을 위한 시간,8.54,32
20210112,백엔의 사랑,8.51,33
20210112,아비정전,8.49,34
20210112,스윙키즈,8.40,35
20210112,초속5센티미터,8.36,36
20210112,삼진그룹 영어토익반,8.35,37
20210112,너의 췌장을 먹고 싶어,8.34,38
20210112,패터슨,8.29,39
20210112,나의 사적인 여자친구,8.20,40
20210112,테넷,8.19,41
20210112,런,8.15,42
20210112,너의 췌장을 먹고 싶어,8.08,43
20210112,무드 인디고,8.02,44
20210112,날씨의 아이,7.98,45
20210112,아이 엠 러브,7.85,46
20210112,신과함께-죄와 벌,7.83,47
20210112,반교: 디텐션,7.82,48
20210112,펀치 드렁크 러브,7.72,49
20210113,극장판 바이올렛 에버가든,9.51,0
20210113,가나의 혼인잔치: 언약,9.48,1
20210113,언플랜드,9.46,2
20210113,부활: 그 증거,9.40,3
20210113,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.26,4
20210113,일 포스티노,9.16,5
20210113,제리 맥과이어,9.16,6
20210113,사랑의 블랙홀,9.15,7
20210113,러브레터,9.12,8
20210113,노팅 힐,9.08,9
20210113,타오르는 여인의 초상,9.06,10
20210113,글루미 선데이,9.06,11
20210113,노트북,9.05,12
20210113,굿바이,9.04,13
20210113,비긴 어게인,9.04,14
20210113,남매의 여름밤,8.95,15
20210113,러브 액츄얼리,8.93,16
20210113,담보,8.91,17
20210113,해리가 샐리를 만났을 때,8.88,18
20210113,1917,8.87,19
20210113,이별의 아침에 약속의 꽃을 장식하자,8.83,20
20210113,라빠르망,8.81,21
20210113,너의 이름은.,8.78,22
20210113,화양연화,8.74,23
20210113,맨체스터 바이 더 씨,8.72,24
20210113,찬실이는 복도 많지,8.70,25
20210113,귀여운 여인,8.70,26
20210113,피아노,8.66,27
20210113,토탈 이클립스,8.65,28
20210113,퐁네프의 연인들,8.63,29
20210113,라라랜드,8.61,30
20210113,철도원,8.59,31
20210113,내일을 위한 시간,8.54,32
20210113,백엔의 사랑,8.51,33
20210113,아비정전,8.49,34
20210113,스윙키즈,8.40,35
20210113,초속5센티미터,8.36,36
20210113,삼진그룹 영어토익반,8.35,37
20210113,너의 췌장을 먹고 싶어,8.34,38
20210113,패터슨,8.29,39
20210113,나의 사적인 여자친구,8.20,40
20210113,테넷,8.19,41
20210113,런,8.14,42
20210113,너의 췌장을 먹고 싶어,8.08,43
20210113,무드 인디고,8.02,44
20210113,블레이드 러너 2049,7.99,45
20210113,날씨의 아이,7.98,46
20210113,아이 엠 러브,7.85,47
20210113,신과함께-죄와 벌,7.83,48
20210113,반교: 디텐션,7.80,49
20210114,극장판 바이올렛 에버가든,9.51,0
20210114,가나의 혼인잔치: 언약,9.48,1
20210114,언플랜드,9.42,2
20210114,부활: 그 증거,9.40,3
20210114,늑대와 춤을,9.29,4
20210114,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.26,5
20210114,일 포스티노,9.16,6
20210114,제리 맥과이어,9.16,7
20210114,사랑의 블랙홀,9.15,8
20210114,러브레터,9.12,9
20210114,노팅 힐,9.08,10
20210114,타오르는 여인의 초상,9.06,11
20210114,글루미 선데이,9.06,12
20210114,노트북,9.05,13
20210114,굿바이,9.04,14
20210114,남매의 여름밤,8.95,15
20210114,러브 액츄얼리,8.93,16
20210114,담보,8.92,17
20210114,해리가 샐리를 만났을 때,8.88,18
20210114,1917,8.87,19
20210114,이별의 아침에 약속의 꽃을 장식하자,8.83,20
20210114,라빠르망,8.81,21
20210114,너의 이름은.,8.78,22
20210114,화양연화,8.75,23
20210114,맨체스터 바이 더 씨,8.72,24
20210114,찬실이는 복도 많지,8.70,25
20210114,귀여운 여인,8.70,26
20210114,피아노,8.66,27
20210114,토탈 이클립스,8.65,28
20210114,퐁네프의 연인들,8.63,29
20210114,라라랜드,8.61,30
20210114,철도원,8.59,31
20210114,내일을 위한 시간,8.54,32
20210114,백엔의 사랑,8.51,33
20210114,아비정전,8.49,34
20210114,스윙키즈,8.40,35
20210114,초속5센티미터,8.36,36
20210114,삼진그룹 영어토익반,8.35,37
20210114,너의 췌장을 먹고 싶어,8.34,38
20210114,패터슨,8.29,39
20210114,나의 사적인 여자친구,8.20,40
20210114,테넷,8.19,41
20210114,런,8.14,42
20210114,너의 췌장을 먹고 싶어,8.08,43
20210114,무드 인디고,8.02,44
20210114,블레이드 러너 2049,7.99,45
20210114,날씨의 아이,7.98,46
20210114,아이 엠 러브,7.85,47
20210114,신과함께-죄와 벌,7.83,48
20210114,반교: 디텐션,7.80,49
20210115,극장판 바이올렛 에버가든,9.51,0
20210115,가나의 혼인잔치: 언약,9.48,1
20210115,언플랜드,9.42,2
20210115,부활: 그 증거,9.40,3
20210115,늑대와 춤을,9.29,4
20210115,인생,9.28,5
20210115,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.26,6
20210115,일 포스티노,9.16,7
20210115,제리 맥과이어,9.16,8
20210115,사랑의 블랙홀,9.15,9
20210115,러브레터,9.12,10
20210115,노팅 힐,9.08,11
20210115,타오르는 여인의 초상,9.06,12
20210115,글루미 선데이,9.06,13
20210115,노트북,9.05,14
20210115,굿바이,9.04,15
20210115,비긴 어게인,9.04,16
20210115,남매의 여름밤,8.95,17
20210115,러브 액츄얼리,8.93,18
20210115,담보,8.92,19
20210115,해리가 샐리를 만났을 때,8.88,20
20210115,1917,8.87,21
20210115,이별의 아침에 약속의 꽃을 장식하자,8.83,22
20210115,라빠르망,8.81,23
20210115,너의 이름은.,8.79,24
20210115,화양연화,8.74,25
20210115,맨체스터 바이 더 씨,8.72,26
20210115,찬실이는 복도 많지,8.70,27
20210115,귀여운 여인,8.70,28
20210115,피아노,8.66,29
20210115,토탈 이클립스,8.65,30
20210115,프란츠,8.65,31
20210115,퐁네프의 연인들,8.63,32
20210115,라라랜드,8.61,33
20210115,철도원,8.59,34
20210115,내일을 위한 시간,8.54,35
20210115,백엔의 사랑,8.51,36
20210115,아비정전,8.49,37
20210115,스윙키즈,8.40,38
20210115,초속5센티미터,8.36,39
20210115,삼진그룹 영어토익반,8.35,40
20210115,너의 췌장을 먹고 싶어,8.34,41
20210115,패터슨,8.29,42
20210115,나의 사적인 여자친구,8.20,43
20210115,테넷,8.19,44
20210115,런,8.14,45
20210115,너의 췌장을 먹고 싶어,8.08,46
20210115,무드 인디고,8.02,47
20210115,블레이드 러너 2049,7.99,48
20210115,날씨의 아이,7.98,49
20210116,극장판 바이올렛 에버가든,9.52,0
20210116,가나의 혼인잔치: 언약,9.49,1
20210116,언플랜드,9.42,2
20210116,부활: 그 증거,9.40,3
20210116,늑대와 춤을,9.29,4
20210116,인생,9.28,5
20210116,페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.26,6
20210116,제리 맥과이어,9.16,7
20210116,사랑의 블랙홀,9.15,8
20210116,러브레터,9.12,9
20210116,노팅 힐,9.08,10
20210116,글루미 선데이,9.06,11
20210116,타오르는 여인의 초상,9.06,12
20210116,노트북,9.05,13
20210116,굿바이,9.04,14
20210116,비긴 어게인,9.04,15
20210116,남매의 여름밤,8.95,16
20210116,러브 액츄얼리,8.93,17
20210116,담보,8.92,18
20210116,해리가 샐리를 만났을 때,8.88,19
20210116,1917,8.87,20
20210116,이별의 아침에 약속의 꽃을 장식하자,8.83,21
